o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:description,dcterms:type,dcterms:educationLevel,foaf:mbox,foaf:gender,foaf:firstName,foaf:familyName,foaf:phone,foaf:member,foaf:status,fup8:code,fup8:ects,fup8:semestre,fup8:coef,fup8:vhec,fup8:vhch,fup8:cch,fup8:pcCM,fup8:pcTD,fup8:pcTP,fup8:sd,fup8:libre,fup8:mutuaDst,fup8:mutuaSrc,fup8:nbg,fup8:hasUE,fup8:hasParcours,fup8:hasHeadTeacher,fup8:hasAgenda,rome:accesEmploi,rome:hasAppellation,rome:code,rome:libelle,rome:definition,rome:riasecMajeur,rome:riasecMineur,rome:transitionEcologiqueDetaillee,rome:codeIsco,rome:hasDomaineProfessionnel,rome:grandDomaine,rome:libelleCourt,rome:classification,rome:hasCompetenceCle,rome:type,rome:codeOgr,rome:hasTheme,rome:hasCentreInteret,rome:hasSecteurActivite,rome:hasCompetenceMobilisee,rome:hasCompetenceMobiliseePrincipale,rome:hasNaf,rome:hasFormacode,rome:hasContexteTravail,rome:categorie
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13694,"Coordinateur / Coordinatrice projet en Maîtrise d'Ouvrage -MOA-",,,,,,,,"Coordinateur/Coordinatrice projet en Maîtrise d'Ouvrage MOA",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 98 | Présenter les évolutions du système d'information au commanditaire : 87 | Recenser les besoins du commanditaire : 91 | Analyser les processus métier : 91 | Concevoir et gérer un projet : 89",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200028,"Product Owner",,,,,,,,"Product Owner",PRINCIPALE,"Élaborer des solutions techniques et fonctionnelles : 98 | Présenter les évolutions du système d'information au commanditaire : 93 | Recenser les besoins du commanditaire : 93 | Analyser les processus métier : 95 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200152,"Project Management Officer - PMO",,,,,,,,"Project Management Officer - PMO",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 96 | Présenter les évolutions du système d'information au commanditaire : 93 | Recenser les besoins du commanditaire : 95 | Analyser les processus métier : 92 | Concevoir et gérer un projet : 69",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38978,"Consultant / Consultante IT",,,,,,,,"Consultant / Consultante IT",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 97 | Présenter les évolutions du système d'information au commanditaire : 89 | Recenser les besoins du commanditaire : 90 | Analyser les processus métier : 97 | Concevoir et gérer un projet : 69",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16316,"Maître / Maîtresse d'ouvrage système d'information",,,,,,,,"Maître / Maîtresse d'ouvrage système d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 95 | Présenter les évolutions du système d'information au commanditaire : 95 | Recenser les besoins du commanditaire : 95 | Analyser les processus métier : 95 | Concevoir et gérer un projet : 89",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11298,"Assistant / Assistante maîtrise d'ouvrage des systèmes d'information",,,,,,,,"Assistant(e) maîtrise d'ouvrage des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 97 | Présenter les évolutions du système d'information au commanditaire : 100 | Recenser les besoins du commanditaire : 98 | Analyser les processus métier : 96 | Concevoir et gérer un projet : 91",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13677,"Coordinateur / Coordinatrice de la Maîtrise d'ouvrage des systèmes d'information",,,,,,,,"Coordinateur(trice) Maîtrise d'ouvrage systèmes information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 93 | Présenter les évolutions du système d'information au commanditaire : 93 | Recenser les besoins du commanditaire : 91 | Analyser les processus métier : 98 | Concevoir et gérer un projet : 68",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13542,"Consultant / Consultante ERP - Enterprise Resource Planning",,,,,,,,"Consultant / Consultante ERP - Enterprise Resource Planning",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 99 | Recenser les besoins du commanditaire : 95 | Analyser les processus métier : 98 | Procéder aux phases de tests et de recettes des applications développées : 98 | Concevoir et gérer un projet : 84",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13545,"Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information",,,,,,,,"Consultant(e) fonctionnel(le) des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 99 | Présenter les évolutions du système d'information au commanditaire : 83 | Recenser les besoins du commanditaire : 92 | Analyser les processus métier : 91 | Concevoir et gérer un projet : 57",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38662,"Consultant / Consultante décisionnel - Business Intelligence",,,,,,,,"Consultant / Consultante décisionnel - Business Intelligence",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 98 | Présenter les évolutions du système d'information au commanditaire : 97 | Recenser les besoins du commanditaire : 95 | Analyser les processus métier : 96 | Concevoir et gérer un projet : 68",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15321,"Gestionnaire d'applications système d'information",,,,,,,,"Gestionnaire d'applications système d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 94 | Présenter les évolutions du système d'information au commanditaire : 86 | Recenser les besoins du commanditaire : 83 | Analyser les processus métier : 86 | Concevoir et gérer un projet : 63",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403871,"Business analyst",,,,,,,,"Business analyst",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 100 | Recenser les besoins du commanditaire : 100 | Analyser les processus métier : 100 | Concevoir et gérer un projet : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38720,"Consultant / Consultante SI CRM/GRC Customer Relationship Management - Gestion de la Relation Client",,,,,,,,"Consultant / Consultante SI CRM/GRC",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 94 | Recenser les besoins du commanditaire : 98 | Analyser les processus métier : 96 | Transmettre une technique, un savoir-faire : 61 | Concevoir et gérer un projet : 62",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38835,"Consultant / Consultante SaaS - Software as a Service",,,,,,,,"Consultant / Consultante SaaS - Software as a Service",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 100 | Recenser les besoins du commanditaire : 100 | Analyser les processus métier : 100 | Concevoir et gérer un projet : 62",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38746,"Consultant / Consultante en accessibilité numérique",,,,,,,,"Consultant / Consultante en accessibilité numérique",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 89 | Présenter les évolutions du système d'information au commanditaire : 62 | Recenser les besoins du commanditaire : 93 | Analyser les processus métier : 92 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20493,"Urbaniste des systèmes d'information",,,,,,,,"Urbaniste des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 100 | Recenser les besoins du commanditaire : 100 | Analyser les processus métier : 100 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12259,"Chef de projet utilisateurs des systèmes d'information",,,,,,,,"Chef de projet utilisateurs des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 100 | Présenter les évolutions du système d'information au commanditaire : 93 | Recenser les besoins du commanditaire : 94 | Analyser les processus métier : 97 | Concevoir et gérer un projet : 88",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38719,"Consultant / Consultante SI finance comptabilité",,,,,,,,"Consultant / Consultante SI finance comptabilité",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 83 | Présenter les évolutions du système d'information au commanditaire : 77 | Recenser les besoins du commanditaire : 80 | Analyser les processus métier : 81 | Concevoir et gérer un projet : 72",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38718,"Consultant / Consultante SIRH ressources humaines",,,,,,,,"Consultant / Consultante SIRH ressources humaines",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 94 | Présenter les évolutions du système d'information au commanditaire : 91 | Recenser les besoins du commanditaire : 97 | Analyser les processus métier : 94 | Concevoir et gérer un projet : 70",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19037,"Responsable d'un service informatique",,,,,,,,"Responsable d'un service informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 97 | Procédures qualité et sécurité des systèmes d'information et de télécoms : 90 | Animer, coordonner une équipe : 79 | Expliquer et faire respecter les règles et procédures : 92 | Concevoir et gérer un projet : 88",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12251,"Chef de projet maîtrise d'ouvrage des systèmes d'information",,,,,,,,"Chef de projet maîtrise d'ouvrage des systèmes d'information",SYNONYME,"Élaborer des solutions techniques et fonctionnelles : 97 | Présenter les évolutions du système d'information au commanditaire : 98 | Recenser les besoins du commanditaire : 88 | Analyser les processus métier : 88 | Concevoir et gérer un projet : 85",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18989,"Responsable d'exploitation informatique",,,,,,,,"Responsable d'exploitation informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 93 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 93 | Élaborer un schéma directeur technique, définir des besoins en équipement : 58 | Concevoir et gérer un projet : 58",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19019,"Responsable du réseau informatique",,,,,,,,"Responsable du réseau informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 82 | Concevoir et gérer un projet : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19104,"Responsable informatique",,,,,,,,"Responsable informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 96 | Élaborer un schéma directeur technique, définir des besoins en équipement : 71 | Concevoir et gérer un projet : 70",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19038,"Responsable d'un service télécoms",,,,,,,,"Responsable d'un service télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19012,"Responsable du management de la DSI",,,,,,,,"Responsable du management de la DSI",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 93 | Concevoir et gérer un projet : 93",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18707,"Responsable de domaine télécoms",,,,,,,,"Responsable de domaine télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19204,"Responsable télécoms",,,,,,,,"Responsable télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 59 | Concevoir et gérer un projet : 59",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18949,"Responsable des systèmes informatiques",,,,,,,,"Responsable des systèmes informatiques",SYNONYME,"Définir la stratégie des systèmes d'informations : 76 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 72 | Élaborer un schéma directeur technique, définir des besoins en équipement : 95 | Concevoir et gérer un projet : 96",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18825,"Responsable de projet architecture télécoms",,,,,,,,"Responsable de projet architecture télécoms",SYNONYME,"Superviser un projet d'architecture : 100 | Élaborer, suivre et piloter un budget : 100 | Animer, coordonner une équipe : 100 | Concevoir et gérer un projet : 100 | Communiquer auprès de ses clients internes et externes : 100",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18824,"Responsable de projet architecture informatique",,,,,,,,"Responsable de projet architecture informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 99 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 97 | Élaborer un schéma directeur technique, définir des besoins en équipement : 94 | Concevoir et gérer un projet : 92",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14251,"Directeur / Directrice de département télécoms",,,,,,,,"Directeur / Directrice de département télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 96 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 87 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14328,"Directeur / Directrice de service télécoms",,,,,,,,"Directeur / Directrice de service télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14486,"Directeur / Directrice télécoms",,,,,,,,"Directeur / Directrice télécoms",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 87 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14386,"Directeur / Directrice des systèmes d'information",,,,,,,,"Directeur / Directrice des systèmes d'information",SYNONYME,"Définir la stratégie des systèmes d'informations : 99 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 93 | Élaborer un schéma directeur technique, définir des besoins en équipement : 85 | Concevoir et gérer un projet : 85",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18823,"Responsable de projet architecture et intégration grands systèmes",,,,,,,,"Responsable projet architecture intégration grands systèmes",SYNONYME,"Définir la stratégie des systèmes d'informations : 87 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 90 | Élaborer un schéma directeur technique, définir des besoins en équipement : 83 | Concevoir et gérer un projet : 83",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14310,"Directeur / Directrice de projet en informatique",,,,,,,,"Directeur / Directrice de projet en informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 96 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 96 | Élaborer un schéma directeur technique, définir des besoins en équipement : 64 | Concevoir et gérer un projet : 67",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12241,"Chef de projet en linguistique informatique",,,,,,,,"Chef de projet en linguistique informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 100 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 100 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 73",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12246,"Chef de projet informatique",,,,,,,,"Chef de projet informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 98 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 87 | Élaborer un schéma directeur technique, définir des besoins en équipement : 64 | Concevoir et gérer un projet : 68",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12253,"Chef de projet multimédia",,,,,,,,"Chef de projet multimédia",SYNONYME,"Définir la stratégie des systèmes d'informations : 85 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 82 | Élaborer un schéma directeur technique, définir des besoins en équipement : 77 | Concevoir et gérer un projet : 93",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12248,"Chef de projet internet",,,,,,,,"Chef de projet internet",SYNONYME,"Définir la stratégie des systèmes d'informations : 87 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 95 | Élaborer un schéma directeur technique, définir des besoins en équipement : 65 | Concevoir et gérer un projet : 54",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12238,"Chef de projet développement logiciel",,,,,,,,"Chef de projet développement logiciel",SYNONYME,"Définir la stratégie des systèmes d'informations : 90 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 84 | Élaborer un schéma directeur technique, définir des besoins en équipement : 56 | Concevoir et gérer un projet : 61",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12258,"Chef de projet Web",,,,,,,,"Chef de projet Web",SYNONYME,"Définir la stratégie des systèmes d'informations : 93 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 96 | Élaborer un schéma directeur technique, définir des besoins en équipement : 52 | Concevoir et gérer un projet : 58",,,,,,,,,,,
"ROME Référence",rome:appellation,acehn@univ-paris8.fr,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12137,"Responsable de division informatique",,,,,,,,"Responsable de division informatique",SYNONYME,"Définir la stratégie des systèmes d'informations : 93 | Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation : 93 | Élaborer un schéma directeur technique, définir des besoins en équipement : 91 | Concevoir et gérer un projet : 98",,,,,,,,,,,
